model_key,config_path,queue,status,execution_bucket
qwen25_7b_instruct,configs_v2/generated/full_models/qwen25_7b_instruct.yaml,gpu6_bulk,ready,bulk_ready
llama31_8b_instruct,configs_v2/generated/full_models/llama31_8b_instruct.yaml,gpu7_bulk,ready,bulk_ready
mistral7b_instruct_v03,configs_v2/generated/full_models/mistral7b_instruct_v03.yaml,gpu6_bulk,ready,bulk_ready
gemma2_9b_it,configs_v2/generated/full_models/gemma2_9b_it.yaml,retry_queue,blocked,retry_blocked
phi4_mini_instruct,configs_v2/generated/full_models/phi4_mini_instruct.yaml,gpu7_bulk,ready,bulk_ready
mistral_small_24b_instruct_2501,configs_v2/generated/full_models/mistral_small_24b_instruct_2501.yaml,retry_queue,ready,retry_tp2
deepseek_r1_distill_qwen_7b,configs_v2/generated/full_models/deepseek_r1_distill_qwen_7b.yaml,gpu6_bulk,ready,bulk_ready
deepseek_r1_distill_llama_8b,configs_v2/generated/full_models/deepseek_r1_distill_llama_8b.yaml,retry_queue,ready,bulk_unverified
qwq_32b,configs_v2/generated/full_models/qwq_32b.yaml,retry_queue,ready,retry_tp2
olmo2_1124_7b_instruct,configs_v2/generated/full_models/olmo2_1124_7b_instruct.yaml,retry_queue,ready,bulk_unverified
