wave,model_key,benchmark_key,relation,relation_available,sample_type,k_values
smoke,qwen25_7b_instruct,gsm8k,same_benchmark,True,model_correct,0|2|8
smoke,qwen25_7b_instruct,gsm8k,same_benchmark,True,model_incorrect,0|2|8
smoke,qwen25_7b_instruct,gsm8k,same_domain_other_benchmark,False,model_correct,0|2|8
smoke,qwen25_7b_instruct,gsm8k,same_domain_other_benchmark,False,model_incorrect,0|2|8
smoke,qwen25_7b_instruct,gsm8k,cross_domain,True,model_correct,0|2|8
smoke,qwen25_7b_instruct,gsm8k,cross_domain,True,model_incorrect,0|2|8
smoke,qwen25_7b_instruct,gpqa,same_benchmark,True,model_correct,0|2|8
smoke,qwen25_7b_instruct,gpqa,same_benchmark,True,model_incorrect,0|2|8
smoke,qwen25_7b_instruct,gpqa,same_domain_other_benchmark,False,model_correct,0|2|8
smoke,qwen25_7b_instruct,gpqa,same_domain_other_benchmark,False,model_incorrect,0|2|8
smoke,qwen25_7b_instruct,gpqa,cross_domain,True,model_correct,0|2|8
smoke,qwen25_7b_instruct,gpqa,cross_domain,True,model_incorrect,0|2|8
smoke,llama31_8b_instruct,gsm8k,same_benchmark,True,model_correct,0|2|8
smoke,llama31_8b_instruct,gsm8k,same_benchmark,True,model_incorrect,0|2|8
smoke,llama31_8b_instruct,gsm8k,same_domain_other_benchmark,False,model_correct,0|2|8
smoke,llama31_8b_instruct,gsm8k,same_domain_other_benchmark,False,model_incorrect,0|2|8
smoke,llama31_8b_instruct,gsm8k,cross_domain,True,model_correct,0|2|8
smoke,llama31_8b_instruct,gsm8k,cross_domain,True,model_incorrect,0|2|8
smoke,llama31_8b_instruct,gpqa,same_benchmark,True,model_correct,0|2|8
smoke,llama31_8b_instruct,gpqa,same_benchmark,True,model_incorrect,0|2|8
smoke,llama31_8b_instruct,gpqa,same_domain_other_benchmark,False,model_correct,0|2|8
smoke,llama31_8b_instruct,gpqa,same_domain_other_benchmark,False,model_incorrect,0|2|8
smoke,llama31_8b_instruct,gpqa,cross_domain,True,model_correct,0|2|8
smoke,llama31_8b_instruct,gpqa,cross_domain,True,model_incorrect,0|2|8
