model_family,dataset,baseline_run_id,baseline_accuracy,baseline_format_failure_rate,relation,pool,k,status,run_id,accuracy,format_failure_rate,delta_vs_single_turn_k0,result_json_path
qwen25,gpqa,run-20260317T072913Z-673904be,0.203125,0.22321428571428573,baseline,,0,complete,run-20260317T072913Z-673904be,0.203125,0.22321428571428573,0.0,results/runs/qwen25_1p5b_gpqa_single_turn_pool_thinking_False__673904be7dbf5a40/run-20260317T072913Z-673904be.json
qwen25,gpqa,run-20260317T072913Z-673904be,0.203125,0.22321428571428573,same_domain,correct,2,complete,run-20260318T143753Z-6778d9f3,0.2857142857142857,0.0,0.0825892857142857,results/runs/qwen25_1p5b_gpqa_stored_same_domain_correct_thinking_off_k2__6778d9f31615f07a/run-20260318T143753Z-6778d9f3.json
qwen25,gpqa,run-20260317T072913Z-673904be,0.203125,0.22321428571428573,same_domain,correct,4,complete,run-20260318T143759Z-3095f5a6,0.29017857142857145,0.0,0.08705357142857145,results/runs/qwen25_1p5b_gpqa_stored_same_domain_correct_thinking_off_k4__3095f5a6044fc4ca/run-20260318T143759Z-3095f5a6.json
qwen25,gpqa,run-20260317T072913Z-673904be,0.203125,0.22321428571428573,same_domain,correct,8,complete,run-20260318T143850Z-ee94d5be,0.2700892857142857,0.0,0.0669642857142857,results/runs/qwen25_1p5b_gpqa_stored_same_domain_correct_thinking_off_k8__ee94d5be5555b834/run-20260318T143850Z-ee94d5be.json
qwen25,gpqa,run-20260317T072913Z-673904be,0.203125,0.22321428571428573,same_domain,correct,16,complete,run-20260318T143847Z-c773e76a,0.27232142857142855,0.0,0.06919642857142855,results/runs/qwen25_1p5b_gpqa_stored_same_domain_correct_thinking_off_k16__c773e76abd4c2ec4/run-20260318T143847Z-c773e76a.json
qwen25,gpqa,run-20260317T072913Z-673904be,0.203125,0.22321428571428573,same_domain,incorrect,2,complete,run-20260318T143826Z-4d33b52a,0.29910714285714285,0.0,0.09598214285714285,results/runs/qwen25_1p5b_gpqa_stored_same_domain_incorrect_thinking_off_k2__4d33b52a7cc5dedc/run-20260318T143826Z-4d33b52a.json
qwen25,gpqa,run-20260317T072913Z-673904be,0.203125,0.22321428571428573,same_domain,incorrect,4,complete,run-20260318T143918Z-62bad28e,0.3080357142857143,0.0,0.1049107142857143,results/runs/qwen25_1p5b_gpqa_stored_same_domain_incorrect_thinking_off_k4__62bad28ef66c5b89/run-20260318T143918Z-62bad28e.json
qwen25,gpqa,run-20260317T072913Z-673904be,0.203125,0.22321428571428573,same_domain,incorrect,8,complete,run-20260318T144015Z-6660aa7f,0.28348214285714285,0.0,0.08035714285714285,results/runs/qwen25_1p5b_gpqa_stored_same_domain_incorrect_thinking_off_k8__6660aa7f3bf7db77/run-20260318T144015Z-6660aa7f.json
qwen25,gpqa,run-20260317T072913Z-673904be,0.203125,0.22321428571428573,same_domain,incorrect,16,complete,run-20260318T143929Z-a5a8a08f,0.2924107142857143,0.0,0.0892857142857143,results/runs/qwen25_1p5b_gpqa_stored_same_domain_incorrect_thinking_off_k16__a5a8a08f35adc180/run-20260318T143929Z-a5a8a08f.json
qwen25,gpqa,run-20260317T072913Z-673904be,0.203125,0.22321428571428573,same_domain_other_dataset,correct,2,complete,run-20260318T144027Z-3e3370db,0.265625,0.0,0.0625,results/runs/qwen25_1p5b_gpqa_stored_same_domain_other_dataset_correct_thinking_off_k2__3e3370dbb1d36d2c/run-20260318T144027Z-3e3370db.json
qwen25,gpqa,run-20260317T072913Z-673904be,0.203125,0.22321428571428573,same_domain_other_dataset,correct,4,complete,run-20260318T144049Z-dd29f60f,0.265625,0.0,0.0625,results/runs/qwen25_1p5b_gpqa_stored_same_domain_other_dataset_correct_thinking_off_k4__dd29f60fd883d148/run-20260318T144049Z-dd29f60f.json
qwen25,gpqa,run-20260317T072913Z-673904be,0.203125,0.22321428571428573,same_domain_other_dataset,correct,8,complete,run-20260318T144056Z-4ab5816b,0.27901785714285715,0.0,0.07589285714285715,results/runs/qwen25_1p5b_gpqa_stored_same_domain_other_dataset_correct_thinking_off_k8__4ab5816baf404d05/run-20260318T144056Z-4ab5816b.json
